site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
brevard-hike-and-bike-path-including-hospital-fields-setophaga-americana,brevard-hike-and-bike-path-including-hospital-fields,Northern Parula,Setophaga americana,setophaga-americana,4,4,5,0,4450,1543,449
brevard-hike-and-bike-path-including-hospital-fields-passerculus-sandwichensis,brevard-hike-and-bike-path-including-hospital-fields,Savannah Sparrow,Passerculus sandwichensis,passerculus-sandwichensis,3,0,3,3,3033,1715,508
brevard-hike-and-bike-path-including-hospital-fields-passerella-iliaca,brevard-hike-and-bike-path-including-hospital-fields,Fox Sparrow,Passerella iliaca,passerella-iliaca,3,0,0,3,3003,1721,516
brevard-hike-and-bike-path-including-hospital-fields-passerina-caerulea,brevard-hike-and-bike-path-including-hospital-fields,Blue Grosbeak,Passerina caerulea,passerina-caerulea,3,0,3,0,3030,1763,491
brevard-hike-and-bike-path-including-hospital-fields-passerina-cyanea,brevard-hike-and-bike-path-including-hospital-fields,Indigo Bunting,Passerina cyanea,passerina-cyanea,4,5,5,0,4550,1765,493
brevard-hike-and-bike-path-including-hospital-fields-pheucticus-ludovicianus,brevard-hike-and-bike-path-including-hospital-fields,Rose-breasted Grosbeak,Pheucticus ludovicianus,pheucticus-ludovicianus,4,0,4,0,4040,1759,489
brevard-hike-and-bike-path-including-hospital-fields-picoides-pubescens,brevard-hike-and-bike-path-including-hospital-fields,Downy Woodpecker,Picoides pubescens,picoides-pubescens,5,5,5,5,5555,963,358
brevard-hike-and-bike-path-including-hospital-fields-picoides-villosus,brevard-hike-and-bike-path-including-hospital-fields,Hairy Woodpecker,Picoides villosus,picoides-villosus,2,2,2,2,2222,964,359
brevard-hike-and-bike-path-including-hospital-fields-pipilo-erythrophthalmus,brevard-hike-and-bike-path-including-hospital-fields,Eastern Towhee,Pipilo erythrophthalmus,pipilo-erythrophthalmus,4,4,4,4,4444,1689,498
brevard-hike-and-bike-path-including-hospital-fields-piranga-olivacea,brevard-hike-and-bike-path-including-hospital-fields,Scarlet Tanager,Piranga olivacea,piranga-olivacea,4,4,5,0,4450,1956,486
brevard-hike-and-bike-path-including-hospital-fields-piranga-rubra,brevard-hike-and-bike-path-including-hospital-fields,Summer Tanager,Piranga rubra,piranga-rubra,3,0,3,0,3030,1955,485
brevard-hike-and-bike-path-including-hospital-fields-poecile-carolinensis,brevard-hike-and-bike-path-including-hospital-fields,Carolina Chickadee,Poecile carolinensis,poecile-carolinensis,5,5,5,5,5555,1333,396
brevard-hike-and-bike-path-including-hospital-fields-polioptila-caerulea,brevard-hike-and-bike-path-including-hospital-fields,Blue-gray Gnatcatcher,Polioptila caerulea,polioptila-caerulea,4,4,2,0,4420,2010,411
brevard-hike-and-bike-path-including-hospital-fields-quiscalus-quiscula,brevard-hike-and-bike-path-including-hospital-fields,Common Grackle,Quiscalus quiscula,quiscalus-quiscula,5,5,3,0,5530,1786,536
brevard-hike-and-bike-path-including-hospital-fields-regulus-calendula,brevard-hike-and-bike-path-including-hospital-fields,Ruby-crowned Kinglet,Regulus calendula,regulus-calendula,4,0,4,4,4044,1403,410
brevard-hike-and-bike-path-including-hospital-fields-regulus-satrapa,brevard-hike-and-bike-path-including-hospital-fields,Golden-crowned Kinglet,Regulus satrapa,regulus-satrapa,4,0,4,4,4044,1402,409
brevard-hike-and-bike-path-including-hospital-fields-sayornis-phoebe,brevard-hike-and-bike-path-including-hospital-fields,Eastern Phoebe,Sayornis phoebe,sayornis-phoebe,4,4,4,2,4442,1154,371
brevard-hike-and-bike-path-including-hospital-fields-seiurus-aurocapilla,brevard-hike-and-bike-path-including-hospital-fields,Ovenbird,Seiurus aurocapilla,seiurus-aurocapilla,4,4,4,0,4440,1580,474
brevard-hike-and-bike-path-including-hospital-fields-parkesia-motacilla,brevard-hike-and-bike-path-including-hospital-fields,Louisiana Waterthrush,Parkesia motacilla,parkesia-motacilla,5,4,0,0,5400,1582,476
brevard-hike-and-bike-path-including-hospital-fields-parkesia-noveboracensis,brevard-hike-and-bike-path-including-hospital-fields,Northern Waterthrush,Parkesia noveboracensis,parkesia-noveboracensis,3,0,3,0,3030,1581,475
brevard-hike-and-bike-path-including-hospital-fields-setophaga-ruticilla,brevard-hike-and-bike-path-including-hospital-fields,American Redstart,Setophaga ruticilla,setophaga-ruticilla,2,2,5,0,2250,1576,470
brevard-hike-and-bike-path-including-hospital-fields-sialia-sialis,brevard-hike-and-bike-path-including-hospital-fields,Eastern Bluebird,Sialia sialis,sialia-sialis,2,2,2,3,2223,1428,413
brevard-hike-and-bike-path-including-hospital-fields-sitta-canadensis,brevard-hike-and-bike-path-including-hospital-fields,Red-breasted Nuthatch,Sitta canadensis,sitta-canadensis,3,0,3,3,3033,1347,398
brevard-hike-and-bike-path-including-hospital-fields-sitta-carolinensis,brevard-hike-and-bike-path-including-hospital-fields,White-breasted Nuthatch,Sitta carolinensis,sitta-carolinensis,4,4,4,4,4444,1348,399
brevard-hike-and-bike-path-including-hospital-fields-sitta-pusilla,brevard-hike-and-bike-path-including-hospital-fields,Brown-headed Nuthatch,Sitta pusilla,sitta-pusilla,2,2,2,2,2222,1350,400
brevard-hike-and-bike-path-including-hospital-fields-sphyrapicus-varius,brevard-hike-and-bike-path-including-hospital-fields,Yellow-bellied Sapsucker,Sphyrapicus varius,sphyrapicus-varius,2,0,2,2,2022,956,356
brevard-hike-and-bike-path-including-hospital-fields-spizella-passerina,brevard-hike-and-bike-path-including-hospital-fields,Chipping Sparrow,Spizella passerina,spizella-passerina,5,5,5,2,5552,1705,502
brevard-hike-and-bike-path-including-hospital-fields-spizella-pusilla,brevard-hike-and-bike-path-including-hospital-fields,Field Sparrow,Spizella pusilla,spizella-pusilla,2,2,2,2,2222,1707,504
brevard-hike-and-bike-path-including-hospital-fields-stelgidopteryx-serripennis,brevard-hike-and-bike-path-including-hospital-fields,Northern Rough-winged Swallow,Stelgidopteryx serripennis,stelgidopteryx-serripennis,4,4,3,0,4430,1326,385
brevard-hike-and-bike-path-including-hospital-fields-strix-varia,brevard-hike-and-bike-path-including-hospital-fields,Barred Owl,Strix varia,strix-varia,2,2,2,2,2222,696,338
brevard-hike-and-bike-path-including-hospital-fields-sturnus-vulgaris,brevard-hike-and-bike-path-including-hospital-fields,European Starling,Sturnus vulgaris,sturnus-vulgaris,5,5,5,5,5555,1509,434
brevard-hike-and-bike-path-including-hospital-fields-tachycineta-bicolor,brevard-hike-and-bike-path-including-hospital-fields,Tree Swallow,Tachycineta bicolor,tachycineta-bicolor,4,4,2,0,4420,1318,384
brevard-hike-and-bike-path-including-hospital-fields-thryothorus-ludovicianus,brevard-hike-and-bike-path-including-hospital-fields,Carolina Wren,Thryothorus ludovicianus,thryothorus-ludovicianus,5,5,5,4,5554,1378,402
brevard-hike-and-bike-path-including-hospital-fields-toxostoma-rufum,brevard-hike-and-bike-path-including-hospital-fields,Brown Thrasher,Toxostoma rufum,toxostoma-rufum,4,4,4,4,4444,1492,425
brevard-hike-and-bike-path-including-hospital-fields-tringa-solitaria,brevard-hike-and-bike-path-including-hospital-fields,Solitary Sandpiper,Tringa solitaria,tringa-solitaria,3,3,0,0,3300,399,242
brevard-hike-and-bike-path-including-hospital-fields-troglodytes-aedon,brevard-hike-and-bike-path-including-hospital-fields,House Wren,Troglodytes aedon,troglodytes-aedon,4,4,4,0,4440,1384,405
brevard-hike-and-bike-path-including-hospital-fields-troglodytes-hiemalis,brevard-hike-and-bike-path-including-hospital-fields,Winter Wren,Troglodytes hiemalis,troglodytes-hiemalis,2,0,2,2,2022,2066,406
brevard-hike-and-bike-path-including-hospital-fields-turdus-migratorius,brevard-hike-and-bike-path-including-hospital-fields,American Robin,Turdus migratorius,turdus-migratorius,5,5,5,4,5554,1472,421
brevard-hike-and-bike-path-including-hospital-fields-oreothlypis-celata,brevard-hike-and-bike-path-including-hospital-fields,Orange-crowned Warbler,Oreothlypis celata,oreothlypis-celata,3,0,0,0,3000,1536,447
brevard-hike-and-bike-path-including-hospital-fields-vermivora-chrysoptera,brevard-hike-and-bike-path-including-hospital-fields,Golden-winged Warbler,Vermivora chrysoptera,vermivora-chrysoptera,3,0,3,0,3030,1534,445
brevard-hike-and-bike-path-including-hospital-fields-oreothlypis-peregrina,brevard-hike-and-bike-path-including-hospital-fields,Tennessee Warbler,Oreothlypis peregrina,oreothlypis-peregrina,2,0,4,0,2040,1535,446
brevard-hike-and-bike-path-including-hospital-fields-vermivora-cyanoptera,brevard-hike-and-bike-path-including-hospital-fields,Blue-winged Warbler,Vermivora cyanoptera,vermivora-cyanoptera,3,0,3,0,3030,1533,444
