spp_slug,commonName,scientificName,aou,bnc
larus-thayeri,Thayer's Gull,Larus thayeri,469,291
laterallus-jamaicensis,Black Rail,Laterallus jamaicensis,338,218
limnodromus-griseus,Short-billed Dowitcher,Limnodromus griseus,449,269
limnodromus-scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,450,270
limnothlypis-swainsonii,Swainson's Warbler,Limnothlypis swainsonii,1579,473
limosa-fedoa,Marbled Godwit,Limosa fedoa,422,252
limosa-haemastica,Hudsonian Godwit,Limosa haemastica,420,250
limosa-lapponica,Bar-tailed Godwit,Limosa lapponica,421,251
limosa-limosa,Black-tailed Godwit,Limosa limosa,419,249
lophodytes-cucullatus,Hooded Merganser,Lophodytes cucullatus,71,189
loxia-curvirostra,Red Crossbill,Loxia curvirostra,1854,545
loxia-leucoptera,White-winged Crossbill,Loxia leucoptera,1856,547
megascops-asio,Eastern Screech-Owl,Megascops asio,669,334
melanerpes-carolinus,Red-bellied Woodpecker,Melanerpes carolinus,953,355
melanerpes-erythrocephalus,Red-headed Woodpecker,Melanerpes erythrocephalus,940,354
melanitta-fusca,White-winged Scoter,Melanitta fusca,64,185
melanitta-americana,Black Scoter,Melanitta americana,65,183
melanitta-perspicillata,Surf Scoter,Melanitta perspicillata,63,184
meleagris-gallopavo,Wild Turkey,Meleagris gallopavo,110,215
melospiza-georgiana,Swamp Sparrow,Melospiza georgiana,1724,519
melospiza-lincolnii,Lincoln's Sparrow,Melospiza lincolnii,1723,518
melospiza-melodia,Song Sparrow,Melospiza melodia,1722,517
mergus-merganser,Common Merganser,Mergus merganser,72,190
mergus-serrator,Red-breasted Merganser,Mergus serrator,73,191
mergus-serrator,White Ibis,Mergus serrator,73,191
mimus-polyglottos,Northern Mockingbird,Mimus polyglottos,1487,423
mniotilta-varia,Black-and-white Warbler,Mniotilta varia,1575,469
molothrus-ater,Brown-headed Cowbird,Molothrus ater,1795,538
molothrus-bonariensis,Shiny Cowbird,Molothrus bonariensis,1793,537
morus-bassanus,Northern Gannet,Morus bassanus,204,127
mycteria-americana,Wood Stork,Mycteria americana,253,151
myiarchus-cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,1167,374
myiarchus-crinitus,Great Crested Flycatcher,Myiarchus crinitus,1169,375
numenius-americanus,Long-billed Curlew,Numenius americanus,418,248
numenius-phaeopus,Whimbrel,Numenius phaeopus,413,247
nyctanassa-violacea,Yellow-crowned Night-Heron,Nyctanassa violacea,243,146
nycticorax-nycticorax,Black-crowned Night-Heron,Nycticorax nycticorax,242,145
oceanites-oceanicus,Wilson's Storm-Petrel,Oceanites oceanicus,181,119
oceanodroma-castro,Band-rumped Storm-Petrel,Oceanodroma castro,188,122
oceanodroma-leucorhoa,Leach's Storm-Petrel,Oceanodroma leucorhoa,186,121
oceanodroma-monorhis,Swinhoe's Storm-Petrel,Oceanodroma monorhis,2056,12214
oenanthe-oenanthe,Northern Wheatear,Oenanthe oenanthe,1426,412
onychoprion-anaethetus,Bridled Tern,Onychoprion anaethetus,488,307
onychoprion-fuscatus,Sooty Tern,Onychoprion fuscatus,486,308
oporornis-agilis,Connecticut Warbler,Oporornis agilis,1584,478
geothlypis-formosa,Kentucky Warbler,Geothlypis formosa,1583,477
geothlypis-philadelphia,Mourning Warbler,Geothlypis philadelphia,1585,479
geothlypis-tolmiei,MacGillivray's Warbler,Geothlypis tolmiei,1586,12228
oreoscoptes-montanus,Sage Thrasher,Oreoscoptes montanus,1491,424
oxyura-jamaicensis,Ruddy Duck,Oxyura jamaicensis,75,192
pandion-haliaetus,Osprey,Pandion haliaetus,2005,194
setophaga-americana,Northern Parula,Setophaga americana,1543,449
passer-domesticus,House Sparrow,Passer domesticus,1907,553
passerculus-sandwichensis,Savannah Sparrow,Passerculus sandwichensis,1715,508
passerella-iliaca,Fox Sparrow,Passerella iliaca,1721,516
passerina-caerulea,Blue Grosbeak,Passerina caerulea,1763,491
passerina-ciris,Painted Bunting,Passerina ciris,1769,495
passerina-cyanea,Indigo Bunting,Passerina cyanea,1765,493
pelagodroma-marina,White-faced Storm-Petrel,Pelagodroma marina,1995,120
pelecanus-erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos,205,128
pelecanus-occidentalis,Brown Pelican,Pelecanus occidentalis,206,129
petrochelidon-fulva,Cave Swallow,Petrochelidon fulva,1330,388
petrochelidon-pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,1329,387
phaethon-aethereus,Red-billed Tropicbird,Phaethon aethereus,196,124
phaethon-lepturus,White-tailed Tropicbird,Phaethon lepturus,195,123
phalacrocorax-auritus,Double-crested Cormorant,Phalacrocorax auritus,209,131
phalacrocorax-carbo,Great Cormorant,Phalacrocorax carbo,210,130
phalaropus-fulicarius,Red Phalarope,Phalaropus fulicarius,459,275
phalaropus-lobatus,Red-necked Phalarope,Phalaropus lobatus,458,274
phalaropus-tricolor,Wilson's Phalarope,Phalaropus tricolor,457,273
pheucticus-ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus,1759,489
philomachus-pugnax,Ruff,Philomachus pugnax,448,268
picoides-borealis,Red-cockaded Woodpecker,Picoides borealis,967,360
picoides-pubescens,Downy Woodpecker,Picoides pubescens,963,358
picoides-villosus,Hairy Woodpecker,Picoides villosus,964,359
pipilo-erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,1689,498
piranga-ludoviciana,Western Tanager,Piranga ludoviciana,1957,487
piranga-olivacea,Scarlet Tanager,Piranga olivacea,1956,486
piranga-rubra,Summer Tanager,Piranga rubra,1955,485
platalea-ajaja,Roseate Spoonbill,Platalea ajaja,251,150
plectrophenax-nivalis,Snow Bunting,Plectrophenax nivalis,1744,527
eudocimus-falcinellus,Glossy Ibis,Eudocimus falcinellus,247,148
pluvialis-dominica,American Golden-Plover,Pluvialis dominica,373,230
pluvialis-squatarola,Black-bellied Plover,Pluvialis squatarola,371,229
podiceps-auritus,Horned Grebe,Podiceps auritus,1986,101
podiceps-grisegena,Red-necked Grebe,Podiceps grisegena,1987,102
podiceps-nigricollis,Eared Grebe,Podiceps nigricollis,1985,103
podilymbus-podiceps,Pied-billed Grebe,Podilymbus podiceps,138,100
poecile-atricapillus,Black-capped Chickadee,Poecile atricapillus,1334,394
poecile-carolinensis,Carolina Chickadee,Poecile carolinensis,1333,396
polioptila-caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,2010,411
pooecetes-gramineus,Vesper Sparrow,Pooecetes gramineus,1710,505
porphyrio-martinicus,Purple Gallinule,Porphyrio martinicus,9871,223
porzana-carolina,Sora,Porzana carolina,348,222
progne-subis,Purple Martin,Progne subis,1311,383
protonotaria-citrea,Prothonotary Warbler,Protonotaria citrea,1577,471
pterodroma-arminjoniana,Herald Petrel,Pterodroma arminjoniana,151,110
pterodroma-cahow,Bermuda Petrel,Pterodroma cahow,154,109
pterodroma-feae,Fea's Petrel,Pterodroma feae,0,111
pterodroma-hasitata,Black-capped Petrel,Pterodroma hasitata,1981,108
puffinus-gravis,Great Shearwater,Puffinus gravis,171,114
puffinus-griseus,Sooty Shearwater,Puffinus griseus,174,115
puffinus-lherminieri,Audubon's Shearwater,Puffinus lherminieri,180,118
puffinus-puffinus,Manx Shearwater,Puffinus puffinus,177,116
pyrocephalus-rubinus,Vermilion Flycatcher,Pyrocephalus rubinus,1156,373
quiscalus-major,Boat-tailed Grackle,Quiscalus major,1787,535
quiscalus-quiscula,Common Grackle,Quiscalus quiscula,1786,536
rallus-elegans,King Rail,Rallus elegans,341,220
rallus-limicola,Virginia Rail,Rallus limicola,342,221
rallus-longirostris,Clapper Rail,Rallus longirostris,340,219
recurvirostra-americana,American Avocet,Recurvirostra americana,392,238
regulus-calendula,Ruby-crowned Kinglet,Regulus calendula,1403,410
regulus-satrapa,Golden-crowned Kinglet,Regulus satrapa,1402,409
riparia-riparia,Bank Swallow,Riparia riparia,1328,386
rissa-tridactyla,Black-legged Kittiwake,Rissa tridactyla,1925,296
rynchops-niger,Black Skimmer,Rynchops niger,1937,312
sayornis-phoebe,Eastern Phoebe,Sayornis phoebe,1154,371
scolopax-minor,American Woodcock,Scolopax minor,456,272
seiurus-aurocapilla,Ovenbird,Seiurus aurocapilla,1580,474
parkesia-motacilla,Louisiana Waterthrush,Parkesia motacilla,1582,476
parkesia-noveboracensis,Northern Waterthrush,Parkesia noveboracensis,1581,475
setophaga-ruticilla,American Redstart,Setophaga ruticilla,1576,470
sialia-sialis,Eastern Bluebird,Sialia sialis,1428,413
sitta-canadensis,Red-breasted Nuthatch,Sitta canadensis,1347,398
sitta-carolinensis,White-breasted Nuthatch,Sitta carolinensis,1348,399
sitta-pusilla,Brown-headed Nuthatch,Sitta pusilla,1350,400
somateria-mollissima,Common Eider,Somateria mollissima,60,179
somateria-spectabilis,King Eider,Somateria spectabilis,59,180
sphyrapicus-varius,Yellow-bellied Sapsucker,Sphyrapicus varius,956,356
spiza-americana,Dickcissel,Spiza americana,1770,496
spizella-arborea,American Tree Sparrow,Spizella arborea,1704,501
spizella-pallida,Clay-colored Sparrow,Spizella pallida,2048,503
spizella-passerina,Chipping Sparrow,Spizella passerina,1705,502
spizella-pusilla,Field Sparrow,Spizella pusilla,1707,504
stelgidopteryx-serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,1326,385
stercorarius-longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,512,278
stercorarius-maccormicki,South Polar Skua,Stercorarius maccormicki,509,280
stercorarius-parasiticus,Parasitic Jaeger,Stercorarius parasiticus,511,277
stercorarius-pomarinus,Pomarine Jaeger,Stercorarius pomarinus,510,276
stercorarius-skua,Great Skua,Stercorarius skua,508,279
sterna-dougallii,Roseate Tern,Sterna dougallii,500,302
sterna-forsteri,Forster's Tern,Sterna forsteri,503,305
sterna-hirundo,Common Tern,Sterna hirundo,501,303
sterna-paradisaea,Arctic Tern,Sterna paradisaea,502,304
sternula-antillarum,Least Tern,Sternula antillarum,491,306
streptopelia-decaocto,Eurasian Collared-Dove,Streptopelia decaocto,550,323
strix-varia,Barred Owl,Strix varia,696,338
sturnella-magna,Eastern Meadowlark,Sturnella magna,1779,530
sturnella-neglecta,Western Meadowlark,Sturnella neglecta,1780,531
sturnus-vulgaris,European Starling,Sturnus vulgaris,1509,434
sula-dactylatra,Masked Booby,Sula dactylatra,198,125
sula-leucogaster,Brown Booby,Sula leucogaster,202,126
tachycineta-bicolor,Tree Swallow,Tachycineta bicolor,1318,384
